id,Country,Area,rank_2010,rank_2015,rank_2020,rank_2021,score_2010,score_2015,score_2020,score_2021,Year,HAQ Index (IHME (2017)),Code,Life expectancy
136,Cambodia,Asia-Pacific,120,121,118,118,46.7000571332,46.8869276258,48.6859447008,49.1546126349,2010,45.5,KHM,66.56
137,Cambodia,Asia-Pacific,120,121,118,118,46.7000571332,46.8869276258,48.6859447008,49.1546126349,2015,50.7,KHM,68.637
138,Cameroon,Sub-Saharan Africa,143,143,151,149,41.3096517567,42.8043949456,41.6263027678,41.83369439,1990,38.3,CMR,53.362
139,Cameroon,Sub-Saharan Africa,143,143,151,149,41.3096517567,42.8043949456,41.6263027678,41.83369439,1995,37.7,CMR,51.554
140,Cameroon,Sub-Saharan Africa,143,143,151,149,41.3096517567,42.8043949456,41.6263027678,41.83369439,2000,37.2,CMR,50.993
141,Cameroon,Sub-Saharan Africa,143,143,151,149,41.3096517567,42.8043949456,41.6263027678,41.83369439,2005,41.0,CMR,52.76
142,Cameroon,Sub-Saharan Africa,143,143,151,149,41.3096517567,42.8043949456,41.6263027678,41.83369439,2010,42.5,CMR,55.101
143,Cameroon,Sub-Saharan Africa,143,143,151,149,41.3096517567,42.8043949456,41.6263027678,41.83369439,2015,44.4,CMR,57.583
144,Canada,North America,13,11,14,15,78.5244094449,79.3771283772,79.4298567732,78.99410363,1990,78.9,CAN,77.303
145,Canada,North America,13,11,14,15,78.5244094449,79.3771283772,79.4298567732,78.99410363,1995,80.7,CAN,78.152
146,Canada,North America,13,11,14,15,78.5244094449,79.3771283772,79.4298567732,78.99410363,2000,83.2,CAN,79.118
147,Canada,North America,13,11,14,15,78.5244094449,79.3771283772,79.4298567732,78.99410363,2005,84.7,CAN,80.235
148,Canada,North America,13,11,14,15,78.5244094449,79.3771283772,79.4298567732,78.99410363,2010,86.3,CAN,81.322
149,Canada,North America,13,11,14,15,78.5244094449,79.3771283772,79.4298567732,78.99410363,2015,87.6,CAN,82.026
150,Central African Republic,Sub-Saharan Africa,165,166,166,166,32.8145456911,30.3718596234,32.3865330643,32.1945837948,1990,25.5,CAF,49.104
151,Central African Republic,Sub-Saharan Africa,165,166,166,166,32.8145456911,30.3718596234,32.3865330643,32.1945837948,1995,25.8,CAF,46.53
152,Central African Republic,Sub-Saharan Africa,165,166,166,166,32.8145456911,30.3718596234,32.3865330643,32.1945837948,2000,26.7,CAF,44.19
153,Central African Republic,Sub-Saharan Africa,165,166,166,166,32.8145456911,30.3718596234,32.3865330643,32.1945837948,2005,28.0,CAF,44.744
154,Central African Republic,Sub-Saharan Africa,165,166,166,166,32.8145456911,30.3718596234,32.3865330643,32.1945837948,2010,28.8,CAF,47.312
155,Central African Republic,Sub-Saharan Africa,165,166,166,166,32.8145456911,30.3718596234,32.3865330643,32.1945837948,2015,28.6,CAF,50.881
156,Chad,Sub-Saharan Africa,167,161,165,164,30.0300707243,34.7668229535,33.3031496756,33.4642490971,1990,35.6,TCD,47.019
157,Chad,Sub-Saharan Africa,167,161,165,164,30.0300707243,34.7668229535,33.3031496756,33.4642490971,1995,35.2,TCD,47.426
158,Chad,Sub-Saharan Africa,167,161,165,164,30.0300707243,34.7668229535,33.3031496756,33.4642490971,2000,32.1,TCD,47.713
159,Chad,Sub-Saharan Africa,167,161,165,164,30.0300707243,34.7668229535,33.3031496756,33.4642490971,2005,34.1,TCD,48.549
160,Chad,Sub-Saharan Africa,167,161,165,164,30.0300707243,34.7668229535,33.3031496756,33.4642490971,2010,36.3,TCD,50.89
161,Chad,Sub-Saharan Africa,167,161,165,164,30.0300707243,34.7668229535,33.3031496756,33.4642490971,2015,37.7,TCD,53.137
162,Chile,Latin America and the Caribbean,35,34,37,38,67.9865557014,68.8589431779,69.1492555667,69.0323088806,1990,58.8,CHL,73.509
163,Chile,Latin America and the Caribbean,35,34,37,38,67.9865557014,68.8589431779,69.1492555667,69.0323088806,1995,64.2,CHL,74.957
164,Chile,Latin America and the Caribbean,35,34,37,38,67.9865557014,68.8589431779,69.1492555667,69.0323088806,2000,69.2,CHL,76.366
165,Chile,Latin America and the Caribbean,35,34,37,38,67.9865557014,68.8589431779,69.1492555667,69.0323088806,2005,72.0,CHL,77.63
166,Chile,Latin America and the Caribbean,35,34,37,38,67.9865557014,68.8589431779,69.1492555667,69.0323088806,2010,73.9,CHL,78.779
167,Chile,Latin America and the Caribbean,35,34,37,38,67.9865557014,68.8589431779,69.1492555667,69.0323088806,2015,76.0,CHL,79.646
168,China,Asia-Pacific,62,59,52,54,57.8851753915,59.4959389543,62.5070560324,62.2312503315,1990,49.5,CHN,69.145
169,China,Asia-Pacific,62,59,52,54,57.8851753915,59.4959389543,62.5070560324,62.2312503315,1995,53.7,CHN,69.885
170,China,Asia-Pacific,62,59,52,54,57.8851753915,59.4959389543,62.5070560324,62.2312503315,2000,57.8,CHN,71.397
171,China,Asia-Pacific,62,59,52,54,57.8851753915,59.4959389543,62.5070560324,62.2312503315,2005,63.7,CHN,72.985
172,China,Asia-Pacific,62,59,52,54,57.8851753915,59.4959389543,62.5070560324,62.2312503315,2010,69.9,CHN,74.409
173,China,Asia-Pacific,62,59,52,54,57.8851753915,59.4959389543,62.5070560324,62.2312503315,2015,74.2,CHN,75.928
174,Colombia,Latin America and the Caribbean,78,71,75,77,55.2191994474,57.2919557065,58.2428820532,58.0370812554,1990,51.1,COL,69.75
175,Colombia,Latin America and the Caribbean,78,71,75,77,55.2191994474,57.2919557065,58.2428820532,58.0370812554,1995,54.9,COL,71.112
176,Colombia,Latin America and the Caribbean,78,71,75,77,55.2191994474,57.2919557065,58.2428820532,58.0370812554,2000,58.4,COL,72.945
177,Colombia,Latin America and the Caribbean,78,71,75,77,55.2191994474,57.2919557065,58.2428820532,58.0370812554,2005,61.6,COL,74.265
178,Colombia,Latin America and the Caribbean,78,71,75,77,55.2191994474,57.2919557065,58.2428820532,58.0370812554,2010,64.4,COL,75.424
