,Rank,Country,Health Care Index (Overall),Infrastructure,Professionals,Cost,Medicine Availability,Government Readiness,Year,HAQ Index (IHME (2017)),Code,Life expectancy
190,33,Qatar,45.29,67.54,51.28,56.77,60.69,98.5,2010,83.1,QAT,79.108
191,33,Qatar,45.29,67.54,51.28,56.77,60.69,98.5,2015,85.2,QAT,79.758
192,34,Malaysia,45.1,64.17,15.05,54.94,52.11,88.89,1990,54.2,MYS,70.865
193,34,Malaysia,45.1,64.17,15.05,54.94,52.11,88.89,1995,57.2,MYS,71.834
194,34,Malaysia,45.1,64.17,15.05,54.94,52.11,88.89,2000,60.3,MYS,72.594
195,34,Malaysia,45.1,64.17,15.05,54.94,52.11,88.89,2005,63.2,MYS,73.555
196,34,Malaysia,45.1,64.17,15.05,54.94,52.11,88.89,2010,63.9,MYS,74.493
197,34,Malaysia,45.1,64.17,15.05,54.94,52.11,88.89,2015,66.6,MYS,75.461
198,35,Colombia,44.72,78.39,19.88,62.1,74.03,91.7,1990,51.1,COL,69.75
199,35,Colombia,44.72,78.39,19.88,62.1,74.03,91.7,1995,54.9,COL,71.112
200,35,Colombia,44.72,78.39,19.88,62.1,74.03,91.7,2000,58.4,COL,72.945
201,35,Colombia,44.72,78.39,19.88,62.1,74.03,91.7,2005,61.6,COL,74.265
202,35,Colombia,44.72,78.39,19.88,62.1,74.03,91.7,2010,64.4,COL,75.424
203,35,Colombia,44.72,78.39,19.88,62.1,74.03,91.7,2015,67.8,COL,76.531
204,37,Italy,44.43,83.38,23.66,87.03,98.43,94.3,1990,76.2,ITA,76.942
205,37,Italy,44.43,83.38,23.66,87.03,98.43,94.3,1995,79.1,ITA,78.107
206,37,Italy,44.43,83.38,23.66,87.03,98.43,94.3,2000,82.5,ITA,79.554
207,37,Italy,44.43,83.38,23.66,87.03,98.43,94.3,2005,85.5,ITA,80.951
208,37,Italy,44.43,83.38,23.66,87.03,98.43,94.3,2010,87.5,ITA,81.958
209,37,Italy,44.43,83.38,23.66,87.03,98.43,94.3,2015,88.7,ITA,82.828
210,38,Philippines,43.06,85.38,13.2,64.9,72.19,80.68,1990,45.0,PHL,66.366
211,38,Philippines,43.06,85.38,13.2,64.9,72.19,80.68,1995,46.1,PHL,68.231
212,38,Philippines,43.06,85.38,13.2,64.9,72.19,80.68,2000,47.5,PHL,68.793
213,38,Philippines,43.06,85.38,13.2,64.9,72.19,80.68,2005,47.6,PHL,69.112
214,38,Philippines,43.06,85.38,13.2,64.9,72.19,80.68,2010,49.6,PHL,69.823
215,38,Philippines,43.06,85.38,13.2,64.9,72.19,80.68,2015,52.0,PHL,70.644
216,39,Uruguay,42.99,64.37,41.72,54.02,55.79,97.5,1990,60.8,URY,72.569
217,39,Uruguay,42.99,64.37,41.72,54.02,55.79,97.5,1995,63.1,URY,73.62
218,39,Uruguay,42.99,64.37,41.72,54.02,55.79,97.5,2000,67.1,URY,74.731
219,39,Uruguay,42.99,64.37,41.72,54.02,55.79,97.5,2005,68.7,URY,75.826
220,39,Uruguay,42.99,64.37,41.72,54.02,55.79,97.5,2010,70.6,URY,76.75
221,39,Uruguay,42.99,64.37,41.72,54.02,55.79,97.5,2015,72.0,URY,77.369
222,40,Sri Lanka,42.92,71.54,16.25,57.69,53.28,89.48,1990,56.9,LKA,69.509
223,40,Sri Lanka,42.92,71.54,16.25,57.69,53.28,89.48,1995,59.5,LKA,69.259
224,40,Sri Lanka,42.92,71.54,16.25,57.69,53.28,89.48,2000,60.4,LKA,71.333
225,40,Sri Lanka,42.92,71.54,16.25,57.69,53.28,89.48,2005,63.8,LKA,74.695
226,40,Sri Lanka,42.92,71.54,16.25,57.69,53.28,89.48,2010,68.9,LKA,75.439
227,40,Sri Lanka,42.92,71.54,16.25,57.69,53.28,89.48,2015,72.8,LKA,76.316
