Country Code,Country Name,Year,GDP (US$),Population (number),HDI
ECA,Europe & Central Asia (excluding High Income),2020,2.98072615102973E12,4.00895993E8,
ECS,Europe & Central Asia,2010,2.10257760920269E13,8.87904313E8,
ECS,Europe & Central Asia,2015,2.05133267008826E13,9.06669764E8,
ECS,Europe & Central Asia,2019,2.29415564336121E13,9.20807612E8,
ECS,Europe & Central Asia,2020,2.21339086311281E13,9.22976036E8,
ECU,Ecuador,2010,6.9555367E10,1.5011114E7,0.736
ECU,Ecuador,2015,9.9290381E10,1.6212022E7,0.765
ECU,Ecuador,2019,1.08108E11,1.7373657E7,0.76
ECU,Ecuador,2020,9.9291124E10,1.764306E7,0.731
EGY,Egypt,2010,1.89147005445E11,8.1134789E7,0.675
EGY,Egypt,2015,3.05595408895E11,9.0424668E7,0.706
EGY,Egypt,2019,2.49712999437E11,9.8423602E7,0.735
EGY,Egypt,2020,3.03080865604E11,1.00388076E8,0.734
EMU,Euro Area,2010,1.26412790972701E13,3.36151482E8,
EMU,Euro Area,2015,1.16744228207986E13,3.39488382E8,
EMU,Euro Area,2019,1.34160612705753E13,3.42283354E8,
EMU,Euro Area,2020,1.30272586754683E13,3.42708355E8,
ERI,Eritrea,2010,1.589515447E9,3170437.0,0.463
ERI,Eritrea,2015,,,0.483
ERI,Eritrea,2019,,,0.495
ERI,Eritrea,2020,,,0.494
ESP,Spain,2010,1.42210819978334E12,4.6576897E7,0.868
ESP,Spain,2015,1.19559999580859E12,4.6444832E7,0.889
ESP,Spain,2019,1.39304609313725E12,4.7134837E7,0.908
ESP,Spain,2020,1.28148464004358E12,4.7363419E7,0.899
EST,Estonia,2010,1.9523477326E10,1331475.0,0.861
EST,Estonia,2015,2.289076209E10,1315407.0,0.882
EST,Estonia,2019,3.1045591753E10,1326855.0,0.896
EST,Estonia,2020,3.0650285472E10,1329479.0,0.892
ETH,Ethiopia,2010,2.9933790334E10,8.7639962E7,0.412
ETH,Ethiopia,2015,6.4589334979E10,1.00835453E8,0.46
ETH,Ethiopia,2019,9.5912590628E10,1.12078727E8,0.498
ETH,Ethiopia,2020,1.07657734392E11,1.14963583E8,0.498
EUU,European Union,2010,1.45576396245741E13,4.41532415E8,
EUU,European Union,2015,1.35519293599328E13,4.44543761E8,
EUU,European Union,2019,1.56918504521073E13,4.47197811E8,
EUU,European Union,2020,1.53001419713648E13,4.47479493E8,
FIN,Finland,2010,2.49424310817E11,5363352.0,0.911
FIN,Finland,2015,2.34534382385E11,5479531.0,0.93
FIN,Finland,2019,2.68508200125E11,5521606.0,0.939
FIN,Finland,2020,2.71836962949E11,5529543.0,0.938
FJI,Fiji,2010,3.140508836E9,859816.0,0.714
FJI,Fiji,2015,4.682546863E9,868632.0,0.729
FJI,Fiji,2019,5.496264766E9,889955.0,0.746
FJI,Fiji,2020,4.574413823E9,896444.0,0.737
FRA,France,2010,2.64518788211667E12,6.5027505E7,0.877
FRA,France,2015,2.4391886431625E12,6.6548272E7,0.892
FRA,France,2019,2.72887024670588E12,6.7248926E7,0.905
FRA,France,2020,2.63031773145526E12,6.7379908E7,0.898
FRO,Faroe Islands,2010,2.322202664E9,47803.0,
FRO,Faroe Islands,2015,2.561824641E9,48055.0,
FRO,Faroe Islands,2019,3.268839776E9,48677.0,
FRO,Faroe Islands,2020,3.240759989E9,48865.0,
FED. STS.,Micronesia,2010,2.802846E8,102971.0,
FED. STS.,Micronesia,2015,3.192712E8,107444.0,
FED. STS.,Micronesia,2019,4.019323E8,112640.0,
FED. STS.,Micronesia,2020,4.12479413E8,113811.0,
GAB,Gabon,2010,1.4372591916E10,1624146.0,0.664
GAB,Gabon,2015,1.4383107714E10,1947690.0,0.699
GAB,Gabon,2019,1.687440584E10,2172578.0,0.709
GAB,Gabon,2020,1.5316824039E10,2225728.0,0.71
GBR,United Kingdom,2010,2.49111009345418E12,6.2766365E7,0.912
GBR,United Kingdom,2015,2.95657377873776E12,6.5116219E7,0.924
GBR,United Kingdom,2019,2.87867391241444E12,6.6836327E7,0.935
GBR,United Kingdom,2020,2.75690021410732E12,6.7081E7,0.924
GEO,Georgia,2010,1.2243505583E10,3786695.0,0.759
GEO,Georgia,2015,1.4953950557E10,3725276.0,0.79
GEO,Georgia,2019,1.7470436259E10,3720161.0,0.81
GEO,Georgia,2020,1.5842922533E10,3722716.0,0.802
GHA,Ghana,2010,3.2197272797E10,2.4779614E7,0.574
GHA,Ghana,2015,4.9406568433E10,2.7849203E7,0.607
GHA,Ghana,2019,6.8337537816E10,3.0417858E7,0.631
GHA,Ghana,2020,7.0043199814E10,3.1072945E7,0.632
GIB,Gibraltar,2010,,33585.0,
GIB,Gibraltar,2015,,33742.0,
GIB,Gibraltar,2019,,33706.0,
GIB,Gibraltar,2020,,33691.0,
GIN,Guinea,2010,6.853467858E9,1.0192168E7,0.415
GIN,Guinea,2015,8.794202444E9,1.1432096E7,0.44
GIN,Guinea,2019,1.3442861444E10,1.2771246E7,0.467
GIN,Guinea,2020,1.416962601E10,1.3132792E7,0.466
GNB,Guinea-bissau,2010,8.49878424E8,1522603.0,0.443
GNB,Guinea-bissau,2015,1.048229629E9,1737207.0,0.472
GNB,Guinea-bissau,2019,1.439638443E9,1920917.0,0.49
